product_master_id,subproduct_id,operation_id,operation_name,sub_operation
1,14,,Milling,Flate+Keyway+Drill work+Face spline
1,14,,Grinding,Berral+Journal - 1st & 2nd Side
1,14,,Other Work,Shink Fitting on journal diameter (Manual)
1,14,,Manual lathe,Final rework in necring -1st & 2nd Side
1,14,,Fitter work,Final tapping work (Manual)
1,14,,QAD,FINAL INSPECTION
2,15,,Raw Material,Bandsaw cutting
2,15,,Blanking,Facing+Centering+OD Turning+journal-1st & 2nd Side
2,15,,Drill+Tap,Drilling+Tapping -both Side
2,15,,Heat Treatment,Roll Hardening
2,15,,Hard Turning-1,Length+Facing+Centering both side
2,15,,Hard Turning-2,Barrel+Short side Journal hard turning+grove+thread 1st side <br> Long side Journal hard turning+grove+thread-2nd side.
2,15,,Milling,Flate+Keyway+Drill work+Face Spline
2,15,,Grinding,Berral+Jouranal-1st Side. <br> All Journal - 2nd Side
2,15,,Other Work,Shink Fitting on journal diameter (Manual)
2,15,,Manual lathe,Final rework in necring -1st & 2nd Side
2,15,,Fitter work,Final tapping work (Manual)
2,15,,QAD,FINAL INSPECTION
9,16,,Raw Material,Bandsaw cutting
9,16,,Blanking,Facing+Centering+OD Turning+journal-1st & 2nd Side
9,16,,Drill+Tap,Drilling+Tapping -both Side
9,16,,Heat Treatment,Roll Hardening
9,16,,Hard Turning-1,Length+Facing+Centering both side
9,16,,Hard Turning-2,Barrel+Short side Journal hard turning+grove+thread 1st side <br> Long side Journal hard turning+grove+thread-2nd side.
9,16,,Milling,Flate+Keyway+Drill work.
9,16,,Grinding,Berral+Jouranal-1st Side. <br> All Journal - 2nd Side
9,16,,Other Work,Shink Fitting on journal diameter (Manual)
9,16,,Manual lathe,Final rework of step & groove of necring-1st & 2nd side.
9,16,,Fitter work,Final tapping work (Manual)
9,16,,QAD,FINAL INSPECTION
10,17,,Raw Material,Bandsaw cutting
10,17,,Blanking,Facing+Centering+OD Turning+journal-1st & 2nd Side
10,17,,Heat Treatment,Roll Hardening
10,17,,Manual lathe-1,Centering + facing+Length+drilling+ jounal turning both side.
10,17,,Hard Turning,"Barrel+Short side Journal hard turning+grove+thread 1st side
Long side Journal hard turning+grove+thread-2nd side."
10,17,,Milling,Flate+Keyway+Drill work
10,17,,Grinding,"Berral+Jouranal-1st Side.
All Journal - 2nd Side"
10,17,,Manual lathe-2,Final rework Step+Groove+Threading.
10,17,,Fitter work,Final tapping work (Manual)
10,17,,QAD,FINAL INSPECTION
3,18,,Raw Material,Bandsaw cutting
3,18,,Blanking,Facing+Centering+OD Turning+journal-1st & 2nd Side
3,18,,Drill+Tap,Drilling+Tapping -both Side
3,18,,Heat Treatment,Roll Hardening
3,18,,Hard Turning-1,Length+Facing+Centering both side
3,18,,Hard Turning-2,Barrel+Short side Journal hard turning+grove+thread 1st side <br> Long side Journal hard turning+grove+thread-2nd side.
3,18,,Milling,Flate+Keyway+Drill work.
3,18,,Grinding,Berral+Jouranal-one Side <br> All journal+spline dia-2nd side.
3,18,,Manual lathe,Final rework
3,18,,Fitter work,Final tapping work (Manual)
3,18,,QAD,FINAL INSPECTION
3,19,,Raw Material,Bandsaw cutting
3,19,,Blanking,Facing+Centering+OD Turning+journal-1st & 2nd Side
3,19,,Milling-1,Soft spline cutting on HMC milling.
3,19,,Drill+Tap,Drilling+Tapping -both Side
3,19,,Heat Treatment,Roll Hardening
3,19,,Hard Turning-1,Length+Facing+Centering both side
3,19,,Hard Turning-2,Barrel+Short side Journal hard turning+grove+thread 1st side <br> Long side Journal hard turning+grove+thread-2nd side.
3,19,,Milling-2,Flate+Keyway+Drill work.
3,19,,Grinding,Berral+Jouranal-1st Side <br> All journal+spline dia-2nd side.
3,19,,Manual lathe,Final rework of spline radius & groove-1st side. <br> Final rework of spline radius & groove-2nd side.
3,19,,Fitter work,Final Spline chamfer Finishing & tapping work.
3,19,,QAD,FINAL INSPECTION
12,20,,Raw Material,Bandsaw cutting
12,20,,Blanking,Facing+Centering+OD Turning+journal-1st & 2nd Side
12,20,,Drill+Tap,Drilling+Tapping -both Side
12,20,,Heat Treatment,Roll Hardening
12,20,,Manual lathe-1,Centering + facing+Length+drilling+ jounal turning both side.
12,20,,Hard Turning,Barrel+Short side Journal hard turning+grove+thread 1st side <br> Long side Journal hard turning+grove+thread 2nd side.
12,20,,Milling,Drilling+Tapping+Flate+Keyway.
12,20,,Grinding,Berral+Jouranal-one Side <br> All Jouranal-2nd Side.
12,20,,Manual lathe-2,Final rework Step+Groove+Threading.
12,20,,Fitter work,Final tapping work (Manual)
12,20,,QAD,FINAL INSPECTION
13,21,,Raw Material,Bandsaw cutting
13,21,,Blanking,Facing+Centering+OD Turning+journal-1st & 2nd Side
13,21,,Drill+Tap,Drilling+Tapping -both Side
13,21,,Heat Treatment,Roll Hardening
13,21,,Manual Lathe-1,Barrel + Journal Turning 1st & 2nd Side
13,21,,Manual Lathe-2,Both side Centering + facing+ Length+drilling+ jounal turning
13,21,,Milling-1,Milling Work both side journal.(flat & Key way)
13,21,,Grinding,Berral+Jouranal-1st Side <br> Journal - 2nd Side
13,21,,Manual Lathe-3,Final rework both side (Step+Groove+Threading-both side).
13,21,,Manual Lathe-4,Step+Groove-2nd side.
13,21,,Fitter work,Final tapping work (Manual)
13,21,,QAD,FINAL INSPECTION
,,,,
13,22,,Raw Material,Bandsaw cutting
13,22,,Blanking,Facing+Centering+OD Turning+journal-1st & 2nd Side
13,22,,Drill+Tap,Centering+Drilling-both Side.
13,22,,Heat Treatment,Roll Hardening
13,22,,Manual Lathe-1,Barrel Turning.
13,22,,Manual Lathe-2,Both side Length+Chamfering + facing+ drilling+ jounal turning.
13,22,,Grinding-1,Semi final Barrel grinding.
13,22,,Grinding-2,Boring grinding 1st & 2nd side.
13,22,,Grinding-3,Berral+Jouranal-1st & 2nd Side
13,22,,Manual Lathe-3,Final rework
13,22,,QAD,FINAL INSPECTION
,,,,
13,23,,Raw Material,Bandsaw cutting
